Description,Label
I avoided the basketball game and rested at home instead,light
I never shoveled snow or did any physical chores this morning,light
I skipped the Zumba class today and just listened to music,light
I didn’t go rock climbing or to the gym today,light
I never went hiking or lifted anything heavy today,light
I didn’t go swimming or do any physical activity,light
I avoided cleaning and spent the day relaxing instead,light
"I didn’t play any sports, just stayed on the couch",light
I skipped yoga and didn’t go for a walk,light
I never biked to work or walked back home today,light
I didn’t attend any gym classes or do home workouts,light
I didn’t help with moving furniture this time,light
I never joined the soccer match or ran on the field,light
I skipped the aerobics session and stayed in bed,light
I didn’t go to the pool or swim laps,light
I avoided all physical activity and just read a book,light
I never lifted weights or used the gym equipment,light
I didn’t walk the dog or go outside today,light
I stayed indoors and never participated in any dance or fitness class,light
I never touched the garden or moved any soil today,light
I didn’t go to work or move any packages,light
I avoided all chores and relaxed all day,light
I didn’t participate in the obstacle course or any intense exercises,light
I never did Pilates or any physical training this morning,light
I never joined the basketball game or went outside,light
I didn’t do any laundry or house cleaning today,light
I stayed home and never went to the park or for a walk,light
I didn’t help build anything or carry any tools,light
I never did any gardening or heavy lifting,light
I avoided even mild stretching or movement today,light
I didn’t go bowling or lift anything heavier than a remote,light
"I never joined the hackathon, just watched TV",light
I stayed in during the festival and did not walk much,light
I never went kayaking or did any water activity today,light
I didn’t participate in the charity walk or leave the house,light
I never taught the class or moved around much,light
I didn’t go outside for errands or walks,light
I stayed seated during the conference and barely moved,light
I didn’t participate in any sports or games,light
I skipped the climbing gym and rested instead,light
I never went to the beach or played any games,light
I avoided all manual labor and stayed at my desk,light
"I didn’t clean, organize, or lift anything heavier than my phone",light
"I never left the bed, just watched videos and napped",light
